schema:*key,$text
ambient_STREET_FULLY_NUDE_M_4,"A beggar nods approvingly. 'Finally, someone brave enough to be free.'"
ambient_STREET_FULLY_NUDE_M_5,"Two teenagers giggle uncontrollably as they pass you by."
ambient_STREET_FULLY_NUDE_M_6,"Someone whistles. You’re not sure if it’s admiration or mockery."
ambient_STREET_FULLY_NUDE_M_7,"A dog barks at you and won’t stop. Its owner looks embarrassed."
ambient_STREET_FULLY_NUDE_M_8,"A priest hurries past you, shielding their eyes with a holy symbol."
ambient_STREET_FULLY_NUDE_M_9,"A nobleman scoffs, 'Disgraceful! Absolutely disgraceful!' before striding off."

ambient_STREET_FULLY_NUDE_F_0,"A guard nearly drops his spear. 'Ma’am, this isn’t a bathhouse!'"
ambient_STREET_FULLY_NUDE_F_1,"A gaggle of young men stares, then quickly pretends to study the sky."
ambient_STREET_FULLY_NUDE_F_2,"A street performer stops mid-act, utterly dumbfounded."
ambient_STREET_FULLY_NUDE_F_3,"An older woman sighs. 'She must be one of those Dibella followers.'"
ambient_STREET_FULLY_NUDE_F_4,"A child asks loudly, 'Mummy, why is that lady glowing?'"
ambient_STREET_FULLY_NUDE_F_5,"A priest clutches their amulet tightly and starts whispering prayers."
ambient_STREET_FULLY_NUDE_F_6,"Someone tries to hand you a cloak. 'You... dropped this?'"
ambient_STREET_FULLY_NUDE_F_7,"A bard starts composing a song. 'The Day the Sun Walked Among Us.'"
ambient_STREET_FULLY_NUDE_F_8,"You hear whispers and giggles behind you. Familiar ones."
ambient_STREET_FULLY_NUDE_F_9,"A noblewoman glares. 'Shameless hussy!' she snaps, turning crimson."

ambient_STREET_UNDERWEAR_ONLY_M_0,"A child shouts, 'That man forgot his pants!' and points gleefully."
ambient_STREET_UNDERWEAR_ONLY_M_1,"A merchant yells, 'No shirt, no shoes, no service!'"
ambient_STREET_UNDERWEAR_ONLY_M_2,"Someone offers you a coin, assuming you're making a statement."
ambient_STREET_UNDERWEAR_ONLY_M_3,"You hear a nearby voice whisper, 'Is this some new fashion?'"
ambient_STREET_UNDERWEAR_ONLY_M_4,"A guard sighs. 'At least you're wearing something... barely.'"
ambient_STREET_UNDERWEAR_ONLY_M_5,"A group of nobles gasps, then bursts into snobbish laughter."
ambient_STREET_UNDERWEAR_ONLY_M_6,"A drunk claps. 'Now that’s how you beat the heat!'"
ambient_STREET_UNDERWEAR_ONLY_M_7,"A tailor eyes you thoughtfully. 'Interesting cut. Could be trendy.'"
ambient_STREET_UNDERWEAR_ONLY_M_8,"Someone shouts, 'Nice legs!' You pretend not to hear."
ambient_STREET_UNDERWEAR_ONLY_M_9,"A nun drops her book and hurries away, eyes wide."

ambient_STREET_UNDERWEAR_ONLY_F_0,"A guard stammers, 'Uh... do you need assistance, miss?'"
ambient_STREET_UNDERWEAR_ONLY_F_1,"A baker drops his loaf and stares, speechless."
ambient_STREET_UNDERWEAR_ONLY_F_2,"An old man grins. 'Bless Dibella,' he mutters."
ambient_STREET_UNDERWEAR_ONLY_F_3,"A child gasps, 'Mum! That lady forgot her dress!'"
ambient_STREET_UNDERWEAR_ONLY_F_4,"A passing noblewoman scoffs, 'How indecent!' and walks faster."
ambient_STREET_UNDERWEAR_ONLY_F_5,"A bard whistles a seductive tune as you walk by."
ambient_STREET_UNDERWEAR_ONLY_F_6,"A pair of guards argue over who should say something."
ambient_STREET_UNDERWEAR_ONLY_F_7,"Someone mutters, 'That’s brave... or very drunk.'"
ambient_STREET_UNDERWEAR_ONLY_F_8,"You hear chuckles and someone clapping in the distance."
ambient_STREET_UNDERWEAR_ONLY_F_9,"A local priest drops his incense burner in shock."

ambient_STREET_COMMONER_TOPLESS_M_0,"A smith nods approvingly. 'Showing off the gains, eh?'"
ambient_STREET_COMMONER_TOPLESS_M_1,"A townswoman raises an eyebrow. 'Not quite the beach, is it?'"
ambient_STREET_COMMONER_TOPLESS_M_2,"A child flexes in response, copying your swagger."
ambient_STREET_COMMONER_TOPLESS_M_3,"A merchant says, 'Sure hope you don’t sweat on the produce.'"
ambient_STREET_COMMONER_TOPLESS_M_4,"A bard shouts, 'Strong as a nord, modest as a skeever!'"
ambient_STREET_COMMONER_TOPLESS_M_5,"A noble looks away. 'Typical peasants... no decorum.'"
ambient_STREET_COMMONER_TOPLESS_M_6,"A drunk tries to start a flexing contest. He loses."
ambient_STREET_COMMONER_TOPLESS_M_7,"You catch someone sketching you. Probably badly."
ambient_STREET_COMMONER_TOPLESS_M_8,"A guard shrugs. 'Seen worse. Seen much worse.'"
ambient_STREET_COMMONER_TOPLESS_M_9,"A stray cat jumps up and clings to your bare chest. Ouch."

ambient_STREET_COMMONER_TOPLESS_F_0,"A passing woman gasps and shields her child’s eyes."
ambient_STREET_COMMONER_TOPLESS_F_1,"A bard drops his lute and simply stares in awe."
ambient_STREET_COMMONER_TOPLESS_F_2,"A young man bumps into a cart while gawking. Loudly."
ambient_STREET_COMMONER_TOPLESS_F_3,"Someone mutters, 'A Dibellan, no doubt.'"
ambient_STREET_COMMONER_TOPLESS_F_4,"A noblewoman fans herself furiously. It’s unclear why."
ambient_STREET_COMMONER_TOPLESS_F_5,"A guard opens his mouth, then thinks better of it."
ambient_STREET_COMMONER_TOPLESS_F_6,"A painter nearby whispers, 'Inspiration... pure inspiration.'"
ambient_STREET_COMMONER_TOPLESS_F_7,"A loud voice yells, 'Cover yourself, for Mara’s sake!'"
ambient_STREET_COMMONER_TOPLESS_F_8,"An old beggar grins. 'Brings back memories...'"
ambient_STREET_COMMONER_TOPLESS_F_9,"You hear a bottle drop and roll away behind you."

ambient_STREET_COMMONER_BOTTOMLESS_M_0,"A merchant shouts, 'Sir! Trousers are required!'"
ambient_STREET_COMMONER_BOTTOMLESS_M_1,"A small dog chases you. For some reason."
ambient_STREET_COMMONER_BOTTOMLESS_M_2,"A guard groans, 'Another pantsless prophet... great.'"
ambient_STREET_COMMONER_BOTTOMLESS_M_3,"A child points and laughs until his mother pulls him away."
ambient_STREET_COMMONER_BOTTOMLESS_M_4,"A tavern wench cackles. 'Seen worse. Married worse.'"
ambient_STREET_COMMONER_BOTTOMLESS_M_5,"You hear a lute strum behind you. A bard is improvising... badly."
ambient_STREET_COMMONER_BOTTOMLESS_M_6,"An old man chuckles, 'Back in my day, we wore belts!'"
ambient_STREET_COMMONER_BOTTOMLESS_M_7,"Someone tosses you a rag. 'You dropped something!'"
ambient_STREET_COMMONER_BOTTOMLESS_M_8,"A nearby priest starts praying louder than usual."
ambient_STREET_COMMONER_BOTTOMLESS_M_9,"A noble shouts, 'This is an outrage!' and storms off."

ambient_STREET_COMMONER_BOTTOMLESS_F_0,"A noblewoman gasps, 'By the Eight, her skirt vanished!'"
ambient_STREET_COMMONER_BOTTOMLESS_F_1,"A guard blushes deeply and pretends not to notice."
ambient_STREET_COMMONER_BOTTOMLESS_F_2,"A child says loudly, 'Mummy, her legs go on forever!'"
ambient_STREET_COMMONER_BOTTOMLESS_F_3,"A bard quickly scribbles notes. You feel objectified."
ambient_STREET_COMMONER_BOTTOMLESS_F_4,"A tavern drunk toasts to your 'courage and ventilation.'"
ambient_STREET_COMMONER_BOTTOMLESS_F_5,"A priest sighs, 'We’ve fallen so far from Arkay’s light...'"
ambient_STREET_COMMONER_BOTTOMLESS_F_6,"You hear a whisper: 'Was that on purpose?'"
ambient_STREET_COMMONER_BOTTOMLESS_F_7,"A tailor waves from across the street. 'Need help?'"
ambient_STREET_COMMONER_BOTTOMLESS_F_8,"A dog starts following you with suspicious enthusiasm."
ambient_STREET_COMMONER_BOTTOMLESS_F_9,"A beggar grins. 'Wish more folks dressed like that!'"

ambient_STREET_ARMORED_TOPLESS_M_0,"A guard laughs. 'Forgot your chestplate, hero?'"
ambient_STREET_ARMORED_TOPLESS_M_1,"A child points. 'Look, mum! It's a half-knight!'"
ambient_STREET_ARMORED_TOPLESS_M_2,"A smith shouts, 'Real warriors wear full plate!'"
ambient_STREET_ARMORED_TOPLESS_M_3,"A bard begins to sing, 'The Tale of the Bare-Chested Brave.'"
ambient_STREET_ARMORED_TOPLESS_M_4,"A noble sneers. 'Savage fashion, I suppose.'"
ambient_STREET_ARMORED_TOPLESS_M_5,"Someone tosses a shirt at your feet. No words."
ambient_STREET_ARMORED_TOPLESS_M_6,"A drunk calls out, 'Now *that’s* confidence!'"
ambient_STREET_ARMORED_TOPLESS_M_7,"A tailor offers a tabard. 'On the house. Please.'"
ambient_STREET_ARMORED_TOPLESS_M_8,"A group of squires applaud your 'bold tactical disadvantage.'"
ambient_STREET_ARMORED_TOPLESS_M_9,"You feel the wind. And every judgmental glance."

ambient_STREET_ARMORED_TOPLESS_F_0,"A bard faints. Later, he says it was divine inspiration."
ambient_STREET_ARMORED_TOPLESS_F_1,"A priest gasps. 'The armor of faith does not cover *that* much!'"
ambient_STREET_ARMORED_TOPLESS_F_2,"A noblewoman stares. 'Is... is that legal?'"
ambient_STREET_ARMORED_TOPLESS_F_3,"A smith yells, 'That’s not how protection works!'"
ambient_STREET_ARMORED_TOPLESS_F_4,"A painter drops his brush. 'Perfection... terrifying perfection.'"
ambient_STREET_ARMORED_TOPLESS_F_5,"A guard mutters, 'Brave or mad. Maybe both.'"
ambient_STREET_ARMORED_TOPLESS_F_6,"A drunk salutes. 'For Dibella and glory!'"
ambient_STREET_ARMORED_TOPLESS_F_7,"A child giggles. 'She forgot her shirt!'"
ambient_STREET_ARMORED_TOPLESS_F_8,"Someone offers a cloak. 'You’ll catch a cold!'"
ambient_STREET_ARMORED_TOPLESS_F_9,"You hear slow clapping from a rooftop. You don’t look up."

ambient_STREET_ARMORED_BOTTOMLESS_M_0,"A guard stares. 'Nice chestplate, but your flank’s exposed... very exposed.'"
ambient_STREET_ARMORED_BOTTOMLESS_M_1,"A merchant flinches. 'Sir, we have pants. On sale.'"
ambient_STREET_ARMORED_BOTTOMLESS_M_2,"A squire drops a sword. 'That’s not standard-issue gear!'"
ambient_STREET_ARMORED_BOTTOMLESS_M_3,"A bard stops playing and shouts, 'WHERE IS THE REST?!'"
ambient_STREET_ARMORED_BOTTOMLESS_M_4,"A nobleman murmurs, 'It’s... a bold strategy.'"
ambient_STREET_ARMORED_BOTTOMLESS_M_5,"A child points. 'Is he part knight, part jester?'"
ambient_STREET_ARMORED_BOTTOMLESS_M_6,"A tailor mutters, 'I could fix that look... maybe.'"
ambient_STREET_ARMORED_BOTTOMLESS_M_7,"Someone tosses a codpiece at your feet. You pretend not to notice."
ambient_STREET_ARMORED_BOTTOMLESS_M_8,"A drunk yells, 'Bottoms up!' and cackles."
ambient_STREET_ARMORED_BOTTOMLESS_M_9,"A monk closes his eyes and hums very loudly as you pass."

ambient_STREET_ARMORED_BOTTOMLESS_F_0,"A noblewoman chokes on her tea. 'Is that... plate and panties?'"
ambient_STREET_ARMORED_BOTTOMLESS_F_1,"A bard takes notes while blushing furiously."
ambient_STREET_ARMORED_BOTTOMLESS_F_2,"A blacksmith frowns. 'Practical? No. Memorable? Yes.'"
ambient_STREET_ARMORED_BOTTOMLESS_F_3,"A nun gasps. 'Blessings be upon her... eventually.'"
ambient_STREET_ARMORED_BOTTOMLESS_F_4,"A guard mutters, 'You forgot your greaves… and your dignity.'"
ambient_STREET_ARMORED_BOTTOMLESS_F_5,"A beggar winks. 'Nice balance of form and function!'"
ambient_STREET_ARMORED_BOTTOMLESS_F_6,"A scholar drops his scrolls and immediately regrets looking up."
ambient_STREET_ARMORED_BOTTOMLESS_F_7,"A child says, 'She looks like a storybook warrior!'"
ambient_STREET_ARMORED_BOTTOMLESS_F_8,"Someone gasps, 'She’s armored... where it doesn’t matter!'"
ambient_STREET_ARMORED_BOTTOMLESS_F_9,"A baker whispers, 'She’ll start a fashion revolution... or a riot.'"

ambient_STREET_COMMONER_FULL_M_0,"A shopkeeper nods. 'Well dressed. You'll go far, lad.'"
ambient_STREET_COMMONER_FULL_M_1,"A noble glances your way. 'At least someone here respects decency.'"
ambient_STREET_COMMONER_FULL_M_2,"A guard grunts. 'No trouble from this one.'"
ambient_STREET_COMMONER_FULL_M_3,"A lady smiles faintly. 'Nice tunic. Clean, too!'"
ambient_STREET_COMMONER_FULL_M_4,"A bard yells, 'A true son of the people!'"
ambient_STREET_COMMONER_FULL_M_5,"Someone whispers, 'Finally, a normal person.'"
ambient_STREET_COMMONER_FULL_M_6,"A child asks, 'Is he a teacher?'"
ambient_STREET_COMMONER_FULL_M_7,"A drunk slurs, 'Too dressed for my taste!'"
ambient_STREET_COMMONER_FULL_M_8,"A tailor stares critically, then nods. 'Acceptable.'"
ambient_STREET_COMMONER_FULL_M_9,"You feel invisible. That’s probably good today."

ambient_STREET_COMMONER_FULL_F_0,"A vendor smiles. 'Looking proper, milady!'"
ambient_STREET_COMMONER_FULL_F_1,"A guard nods respectfully. 'As it should be.'"
ambient_STREET_COMMONER_FULL_F_2,"A noblewoman scoffs, but says nothing. She can’t find a flaw."
ambient_STREET_COMMONER_FULL_F_3,"A child waves at you shyly. 'Pretty dress!'"
ambient_STREET_COMMONER_FULL_F_4,"A priest bows slightly. 'You honor the gods with modesty.'"
ambient_STREET_COMMONER_FULL_F_5,"A bard sighs. 'Beautiful and decent... rare combination.'"
ambient_STREET_COMMONER_FULL_F_6,"A merchant invites you in with a warm smile."
ambient_STREET_COMMONER_FULL_F_7,"You hear a whisper: 'Well, someone has class.'"
ambient_STREET_COMMONER_FULL_F_8,"A drunk stares and slurs, 'Too good for this place, huh?'"
ambient_STREET_COMMONER_FULL_F_9,"A passing tailor whispers, 'Stitching’s flawless... impressive.'"

ambient_STREET_NOBLE_FULL_M_0,"A nobleman nods. 'Ah, a man of standing.'"
ambient_STREET_NOBLE_FULL_M_1,"A merchant greets you with a deep bow."
ambient_STREET_NOBLE_FULL_M_2,"A commoner stares in awe. 'Is he royalty?'"
ambient_STREET_NOBLE_FULL_M_3,"A bard hurries to write a verse about you."
ambient_STREET_NOBLE_FULL_M_4,"A guard straightens up. 'Sir.'"
ambient_STREET_NOBLE_FULL_M_5,"A child whispers, 'That man shines!'"
ambient_STREET_NOBLE_FULL_M_6,"A beggar lowers their eyes as you pass."
ambient_STREET_NOBLE_FULL_M_7,"A tailor gasps. 'That cut! That fabric!'"
ambient_STREET_NOBLE_FULL_M_8,"You hear soft murmurs of admiration in your wake."
ambient_STREET_NOBLE_FULL_M_9,"A noblewoman takes a second look. 'Interesting...'"

ambient_STREET_NOBLE_FULL_F_0,"A noblewoman smiles approvingly. 'Flawless taste, dear.'"
ambient_STREET_NOBLE_FULL_F_1,"A guard bows his head respectfully."
ambient_STREET_NOBLE_FULL_F_2,"A bard mumbles, 'A vision from a painting...'"
ambient_STREET_NOBLE_FULL_F_3,"A merchant hurries to offer a discount."
ambient_STREET_NOBLE_FULL_F_4,"A group of commoners stare in silent awe."
ambient_STREET_NOBLE_FULL_F_5,"A tailor fans herself. 'That design is exquisite!'"
ambient_STREET_NOBLE_FULL_F_6,"A priest smiles gently. 'Truly blessed with grace.'"
ambient_STREET_NOBLE_FULL_F_7,"You hear someone whisper, 'Noble? Definitely.'"
ambient_STREET_NOBLE_FULL_F_8,"A jealous noble glares from afar. You pretend not to notice."
ambient_STREET_NOBLE_FULL_F_9,"Even the wind seems to bow in your direction."

ambient_STREET_RELIGIOUS_GARB_M_0,"A priest nods approvingly. 'Walk in the light, brother.'"
ambient_STREET_RELIGIOUS_GARB_M_1,"A commoner bows slightly. 'He must be holy.'"
ambient_STREET_RELIGIOUS_GARB_M_2,"A merchant whispers, 'Maybe he’ll bless my shop...?'"
ambient_STREET_RELIGIOUS_GARB_M_3,"A guard stands aside respectfully as you pass."
ambient_STREET_RELIGIOUS_GARB_M_4,"A child asks, 'Is he a monk or a wizard?'"
ambient_STREET_RELIGIOUS_GARB_M_5,"A nun gives you a smile of quiet approval."
ambient_STREET_RELIGIOUS_GARB_M_6,"You hear someone mutter, 'He probably doesn’t even pay taxes...'"
ambient_STREET_RELIGIOUS_GARB_M_7,"A bard lowers his hat solemnly."
ambient_STREET_RELIGIOUS_GARB_M_8,"A drunk yells, 'Preach to the chickens!' before falling over."
ambient_STREET_RELIGIOUS_GARB_M_9,"A pilgrim offers you bread. 'For the road, brother.'"

ambient_STREET_RELIGIOUS_GARB_F_0,"A priestess bows. 'Sister, you honor us with your presence.'"
ambient_STREET_RELIGIOUS_GARB_F_1,"A child asks, 'Is she a saint?'"
ambient_STREET_RELIGIOUS_GARB_F_2,"A guard opens the way. 'Make room for the devout!'"
ambient_STREET_RELIGIOUS_GARB_F_3,"A merchant offers a candle. 'Free. For Dibella... or whichever.'"
ambient_STREET_RELIGIOUS_GARB_F_4,"A beggar makes the sign of Arkay and weeps softly."
ambient_STREET_RELIGIOUS_GARB_F_5,"Someone whispers, 'Blessed be her path...'"
ambient_STREET_RELIGIOUS_GARB_F_6,"A bard sings a gentle hymn as you pass."
ambient_STREET_RELIGIOUS_GARB_F_7,"A noblewoman nods, hiding a tear. 'Beautiful.'"
ambient_STREET_RELIGIOUS_GARB_F_8,"A goat bows its head. Or trips. Hard to tell."
ambient_STREET_RELIGIOUS_GARB_F_9,"A drunk throws a potato and misses. 'Priestesses!'"

ambient_STREET_NOBLE_INDECENT_M_0,"A noble yells, 'Are you trying to disgrace House Daggerfall?!'"
ambient_STREET_NOBLE_INDECENT_M_1,"A lady gasps. 'Silk... but no shame.'"
ambient_STREET_NOBLE_INDECENT_M_2,"A bard starts clapping slowly. Too slowly."
ambient_STREET_NOBLE_INDECENT_M_3,"A guard frowns. 'You're not breaking the law... but you’re close.'"
ambient_STREET_NOBLE_INDECENT_M_4,"A merchant mutters, 'Rich madness is still madness.'"
ambient_STREET_NOBLE_INDECENT_M_5,"A priest stares, shocked. 'Is that noble... or nonsense?'"
ambient_STREET_NOBLE_INDECENT_M_6,"A jester laughs, 'Finally, someone worse dressed than me!'"
ambient_STREET_NOBLE_INDECENT_M_7,"Someone whispers, 'That sash isn’t hiding anything...'"
ambient_STREET_NOBLE_INDECENT_M_8,"A child points. 'He's shiny, but not all over!'"
ambient_STREET_NOBLE_INDECENT_M_9,"A noblewoman scoffs. 'Peacock with no feathers.'"

ambient_STREET_NOBLE_INDECENT_F_0,"A noblewoman huffs. 'Such a waste of good fabric!'"
ambient_STREET_NOBLE_INDECENT_F_1,"A priest turns red and stares at the sky."
ambient_STREET_NOBLE_INDECENT_F_2,"A bard sings, 'The Lady of Lace and Scandal.'"
ambient_STREET_NOBLE_INDECENT_F_3,"A tailor screams internally at the asymmetry."
ambient_STREET_NOBLE_INDECENT_F_4,"A child asks, 'Is she a princess or a dancer?'"
ambient_STREET_NOBLE_INDECENT_F_5,"A drunk proposes marriage. Twice."
ambient_STREET_NOBLE_INDECENT_F_6,"A merchant grumbles. 'Style over sense... again.'"
ambient_STREET_NOBLE_INDECENT_F_7,"Someone mutters, 'One gust of wind and it's over.'"
ambient_STREET_NOBLE_INDECENT_F_8,"A nun faints. A second one catches her."
ambient_STREET_NOBLE_INDECENT_F_9,"You hear, 'Blessed by Dibella... or cursed by Mara?'"

ambient_STREET_NOBLE_NO_JEWELS_M_0,"A nobleman frowns. 'Dressed well, but... where’s the sparkle?'"
ambient_STREET_NOBLE_NO_JEWELS_M_1,"A merchant offers, 'Amulet? Ring? You clearly need one.'"
ambient_STREET_NOBLE_NO_JEWELS_M_2,"A bard sings, 'Clothed in grace, but not in gold.'"
ambient_STREET_NOBLE_NO_JEWELS_M_3,"A lady whispers, 'Probably lost his heirloom... tragic.'"
ambient_STREET_NOBLE_NO_JEWELS_M_4,"A beggar scoffs. 'Fake noble. No jewels, no class.'"
ambient_STREET_NOBLE_NO_JEWELS_M_5,"A guard mutters, 'Looks rich. Doesn’t shine.'"
ambient_STREET_NOBLE_NO_JEWELS_M_6,"A child says, 'He looks important... but not important-important.'"
ambient_STREET_NOBLE_NO_JEWELS_M_7,"A tailor gasps. 'No ring? That’s a statement.'"
ambient_STREET_NOBLE_NO_JEWELS_M_8,"A drunk offers you a bottle cap. 'Here, fancy it up!'"
ambient_STREET_NOBLE_NO_JEWELS_M_9,"You hear a whisper: 'Jewels stolen? Or never had any?'"

ambient_STREET_NOBLE_NO_JEWELS_F_0,"A noblewoman clicks her tongue. 'No earrings? Bold... or poor.'"
ambient_STREET_NOBLE_NO_JEWELS_F_1,"A merchant eyes you. 'Jewels would complete the look, milady.'"
ambient_STREET_NOBLE_NO_JEWELS_F_2,"A bard sings, 'She shines without gems, yet still they stare.'"
ambient_STREET_NOBLE_NO_JEWELS_F_3,"A tailor mumbles, 'Perfect silhouette... lacking sparkle.'"
ambient_STREET_NOBLE_NO_JEWELS_F_4,"A priestess smiles gently. 'True beauty needs no gold.'"
ambient_STREET_NOBLE_NO_JEWELS_F_5,"A drunk toasts, 'To simplicity... and ankles!'"
ambient_STREET_NOBLE_NO_JEWELS_F_6,"Someone whispers, 'She must be a rebellious noble.'"
ambient_STREET_NOBLE_NO_JEWELS_F_7,"A noble frowns. 'It's elegant, yet incomplete.'"
ambient_STREET_NOBLE_NO_JEWELS_F_8,"A child says, 'She looks like a queen! But... no crown?'"
ambient_STREET_NOBLE_NO_JEWELS_F_9,"You hear a gasp. 'She dared... and pulled it off.'"

ambient_STREET_NOBLE_BATTLE_READY_M_0,"A guard salutes. 'Ready for anything, sir!'"
ambient_STREET_NOBLE_BATTLE_READY_M_1,"A noble claps. 'Style and steel. Impressive.'"
ambient_STREET_NOBLE_BATTLE_READY_M_2,"A bard belts out, 'The Armored Aristocrat!'"
ambient_STREET_NOBLE_BATTLE_READY_M_3,"A child whispers, 'Is he a knight prince?'"
ambient_STREET_NOBLE_BATTLE_READY_M_4,"A merchant offers discounts instantly."
ambient_STREET_NOBLE_BATTLE_READY_M_5,"You hear, 'He could kill me... and I'd thank him.'"
ambient_STREET_NOBLE_BATTLE_READY_M_6,"A priest nods. 'A holy warrior, surely.'"
ambient_STREET_NOBLE_BATTLE_READY_M_7,"A peasant bows low. 'Milord, please protect us!'"
ambient_STREET_NOBLE_BATTLE_READY_M_8,"A beggar offers you a flower. 'For your blade’s mercy.'"
ambient_STREET_NOBLE_BATTLE_READY_M_9,"A tailor whispers, 'Armor couture... divine.'"

ambient_STREET_NOBLE_BATTLE_READY_F_0,"A noblewoman whispers, 'She walks like royalty and roars like war.'"
ambient_STREET_NOBLE_BATTLE_READY_F_1,"A guard fumbles his weapon. 'Milady...!'"
ambient_STREET_NOBLE_BATTLE_READY_F_2,"A bard sings, 'Steel, silk, and sovereign fire.'"
ambient_STREET_NOBLE_BATTLE_READY_F_3,"A merchant bows deeply. 'Your armor dazzles, madam.'"
ambient_STREET_NOBLE_BATTLE_READY_F_4,"A child stares in awe. 'A real battle princess!'"
ambient_STREET_NOBLE_BATTLE_READY_F_5,"A priestess blesses you quietly. 'Walk with purpose.'"
ambient_STREET_NOBLE_BATTLE_READY_F_6,"Someone gasps, 'Is she a general in disguise?'"
ambient_STREET_NOBLE_BATTLE_READY_F_7,"A drunk toasts, 'To the iron rose!'"
ambient_STREET_NOBLE_BATTLE_READY_F_8,"A tailor swoons. 'Armor and elegance? Impossible!'"
ambient_STREET_NOBLE_BATTLE_READY_F_9,"You hear whispers of respect in every direction."

ambient_CASTLE_FULLY_NUDE_M_0,"A royal guard bellows, 'Cover yourself or begone!'"
ambient_CASTLE_FULLY_NUDE_M_1,"A noble stumbles back. 'Blasphemy! Outrage!'"
ambient_CASTLE_FULLY_NUDE_M_2,"A courtier drops his wine in pure shock."
ambient_CASTLE_FULLY_NUDE_M_3,"A servant hisses, 'You'll curse the tapestries!'"
ambient_CASTLE_FULLY_NUDE_M_4,"A scribe tears up a scroll. 'This never happened.'"
ambient_CASTLE_FULLY_NUDE_M_5,"A bard stops playing mid-note. Silence follows."
ambient_CASTLE_FULLY_NUDE_M_6,"A lady faints. Her fan remains mid-air, spinning."
ambient_CASTLE_FULLY_NUDE_M_7,"A herald shouts, 'This is not the arena, sir!'"
ambient_CASTLE_FULLY_NUDE_M_8,"A jester laughs, then quickly hides behind a pillar."
ambient_CASTLE_FULLY_NUDE_M_9,"You hear murmurs: 'Madness walks among us.'"

ambient_CASTLE_FULLY_NUDE_F_0,"A lady-in-waiting shrieks, shielding her eyes."
ambient_CASTLE_FULLY_NUDE_F_1,"A noblewoman gasps, 'Unforgivable!' and storms off."
ambient_CASTLE_FULLY_NUDE_F_2,"A lord drops his goblet. You don't wait for his words."
ambient_CASTLE_FULLY_NUDE_F_3,"A priest whispers prayers while backing away."
ambient_CASTLE_FULLY_NUDE_F_4,"A guard raises his blade halfway, unsure what to do."
ambient_CASTLE_FULLY_NUDE_F_5,"A bard sings one trembling note and stops forever."
ambient_CASTLE_FULLY_NUDE_F_6,"You hear robes rustling as everyone turns away in disgust."
ambient_CASTLE_FULLY_NUDE_F_7,"A servant tosses a curtain at you and runs."
ambient_CASTLE_FULLY_NUDE_F_8,"A noble cries out, 'Have you no shame?!'"
ambient_CASTLE_FULLY_NUDE_F_9,"A portrait falls from the wall. Coincidence?"

ambient_CASTLE_UNDERWEAR_ONLY_M_0,"A nobleman growls, 'This isn’t a tavern. Get dressed.'"
ambient_CASTLE_UNDERWEAR_ONLY_M_1,"A courtier mutters, 'Is he a fool or just mad?'"
ambient_CASTLE_UNDERWEAR_ONLY_M_2,"A servant throws you a cloak with disgusted precision."
ambient_CASTLE_UNDERWEAR_ONLY_M_3,"A bard says nothing. Just stares. Intensely."
ambient_CASTLE_UNDERWEAR_ONLY_M_4,"A scribe writes something, then crosses it out repeatedly."
ambient_CASTLE_UNDERWEAR_ONLY_M_5,"A guard grumbles, 'Try that again and you’re out.'"
ambient_CASTLE_UNDERWEAR_ONLY_M_6,"A noblewoman drops her teacup. It does not survive."
